method,dataset,paper,ours,diff,abs_diff
SheafHyperGNN,ModelNet40,98.3,98.11302108764649,-0.18697891235350994,0.18697891235350994
SheafHyperGNN,Ratings,28.35,27.510760498046874,-0.8392395019531271,0.8392395019531271
HJRL,Cora,78.67,34.89660243988037,-43.77339756011963,43.77339756011963
HJRL,Pubmed,87.98,60.028397941589354,-27.95160205841065,27.95160205841065
HJRL,Cora-CA,83.72,34.475627708435056,-49.24437229156494,49.24437229156494
HJRL,Actor,71.54,62.761376190185544,-8.778623809814462,8.778623809814462
HJRL,Gamers,51.62,49.921485328674315,-1.6985146713256825,1.6985146713256825
HJRL,Pokec,57.57,52.568000411987306,-5.001999588012694,5.001999588012694
HJRL,NTU2012,88.15,4.31411509513855,-83.83588490486146,83.83588490486146
HJRL,ModelNet40,96.33,7.546281051635742,-88.78371894836425,88.78371894836425
HJRL,Ratings,26.9,25.416069316864014,-1.4839306831359842,1.4839306831359842
DPHGNN,Cora,76.4,75.70901031494141,-0.6909896850585966,0.6909896850585966
DPHGNN,Pubmed,86.72,76.61967620849609,-10.10032379150391,10.10032379150391
DPHGNN,Cora-CA,82.13,81.8316089630127,-0.2983910369872973,0.2983910369872973
DPHGNN,Actor,83.65,67.69126605987549,-15.958733940124517,15.958733940124517
DPHGNN,Gamers,52.36,51.14799213409424,-1.2120078659057612,1.2120078659057612
DPHGNN,Pokec,58.2,57.914666938781735,-0.2853330612182674,0.2853330612182674
DPHGNN,NTU2012,84.77,43.14115123748779,-41.628848762512206,41.628848762512206
DPHGNN,ModelNet40,97.19,72.5787567138672,-24.611243286132805,24.611243286132805
DPHGNN,Ratings,28.57,28.907819080352784,0.33781908035278363,0.33781908035278363
TF-HNN,Cora,79.47,77.00147705078125,-2.4685229492187517,2.4685229492187517
TF-HNN,Pubmed,87.9,86.14401550292969,-1.7559844970703153,1.7559844970703153
TF-HNN,Cora-CA,84.19,80.25849304199218,-3.931506958007816,3.931506958007816
TF-HNN,DBLP-CA,91.38,88.65001106262207,-2.729988937377925,2.729988937377925
TF-HNN,Walmart,77.04,67.3184772491455,-9.721522750854504,9.721522750854504
TF-HNN,Actor,85.96,82.61869354248047,-3.341306457519522,3.341306457519522
TF-HNN,Gamers,52.34,51.357365417480466,-0.9826345825195375,0.9826345825195375
TF-HNN,Pokec,59.17,58.892001152038574,-0.2779988479614275,0.2779988479614275
